group	subject	day	time	status
3	36	3	1	1
3	36	4	29	1
3	36	5	20	1
3	36	6	14	1
3	36	7	18	1
4	37	1	31.3	1
4	37	2	17	1
4	37	3	16.5	1
4	37	4	22	1
4	37	5	11.5	1
4	37	6	24.3	1
4	37	7	17.5	1
4	38	1	36	1
4	38	2	21.8	1
4	38	3	9	1
4	38	4	17.8	1
4	38	5	27.8	1
4	38	6	21	1
4	38	7	14	1
4	39	1	39.3	1
4	39	2	24	1
4	39	3	4.8	1
4	39	4	15.3	1
4	39	5	9.8	1
4	39	6	11	1
4	39	7	14.8	1
4	40	1	47	1
4	40	2	10	1
4	40	3	22.3	1
4	40	4	8	1
4	40	5	11.3	1
4	40	6	11.3	1
4	40	7	8.7	1
4	41	1	56.3	1
4	41	2	19.3	1
4	41	3	17.5	1
4	41	4	7.3	1
4	41	5	9	1
4	41	6	9.3	1
4	41	7	21.8	1
4	42	1	60	0
4	42	2	38	1
4	42	3	15	1
4	42	4	11	1
4	42	5	27	1
4	42	6	17	1
4	42	7	10	1
4	43	1	60	0
4	43	2	27	1
4	43	3	10	1
4	43	4	6	1
4	43	5	21	1
4	43	6	13	1
4	43	7	5	1
4	44	1	60	0
4	44	2	19	1
4	44	3	2	1
4	44	4	6	1
4	44	5	30	1
4	44	6	49	1
4	44	7	13	1
4	45	1	36	1
4	45	2	24	1
4	45	3	17	1
4	45	4	4	1
4	45	5	4	1
4	45	6	30	1
4	45	7	6	1
4	46	1	57	1
4	46	2	18	1
4	46	3	9	1
4	46	4	3	1
4	46	5	7	1
4	46	6	16	1
4	46	7	15	1
4	47	1	50	1
4	47	2	25	1
4	47	3	23	1
4	47	4	10	1
4	47	5	3	1
4	47	6	16	1
4	47	7	12	1
4	48	1	45	1
4	48	2	27	1
4	48	3	15	1
4	48	4	2	1
4	48	5	9	1
4	48	6	9	1
4	48	7	2	1
5	49	1	60	0
5	49	2	52.3	1
5	49	3	37.3	1
5	49	4	24.8	1
5	49	5	28.8	1
5	49	6	25.3	1
5	49	7	25.8	1
5	50	1	31	1
5	50	2	21.3	1
5	50	3	20.3	1
5	50	4	25.5	1
5	50	5	19.5	1
5	50	6	11.8	1
5	50	7	29.5	1
5	51	1	60	0
5	51	2	35.3	1
5	51	3	24.8	1
5	51	4	18.5	1
5	51	5	20.8	1
5	51	6	23.5	1
5	51	7	16.8	1
5	52	1	49.3	1
5	52	2	32.8	1
5	52	3	21.5	1
5	52	4	16.5	1
5	52	5	6	1
5	52	6	24	1
5	52	7	22.5	1
5	53	1	51	1
5	53	2	26.5	1
5	53	3	36.5	1
5	53	4	29.8	1
5	53	5	27.8	1
5	53	6	24.5	1
5	53	7	21	1
5	54	1	60	0
5	54	2	31	1
5	54	3	10.5	1
5	54	4	18.8	1
5	54	5	13.8	1
5	54	6	34.3	1
5	54	7	35.5	1
5	55	1	49.3	1
5	55	2	32.8	1
5	55	3	21.5	1
5	55	4	16.5	1
5	55	5	26	1
5	55	6	24	1
5	55	7	22.5	1
5	56	1	51	1
5	56	2	26.5	1
5	56	3	36.5	1
5	56	4	29.8	1
5	56	5	27.8	1
5	56	6	24.5	1
5	56	7	21	1
5	57	1	43	1
5	57	2	40	1
5	57	3	34	1
5	57	4	30	1
5	57	5	21	1
5	57	6	20	1
5	57	7	23	1
5	58	1	60	0
5	58	2	60	0
5	58	3	60	0
5	58	4	46	1
5	58	5	60	0
5	58	6	40	1
5	58	7	34	1
5	59	1	60	0
5	59	2	47	1
5	59	3	34	1
5	59	4	40	1
5	59	5	21	1
5	59	6	20	1
5	59	7	23	1
5	60	1	60	0
5	60	2	56	1
5	60	3	12	1
5	60	4	9	1
5	60	5	8	1
5	60	6	13	1
5	60	7	50	1
6	61	1	50.5	1
6	61	2	22.3	1
6	61	3	6	1
6	61	4	13.8	1
6	61	5	9.5	1
6	61	6	6.5	1
6	61	7	4.3	1
6	62	1	41.8	1
6	62	2	27	1
6	62	3	21.8	1
6	62	4	20	1
6	62	5	23.8	1
6	62	6	15	1
6	62	7	11.8	1
6	63	1	56.3	1
6	63	2	20	1
6	63	3	13	1
6	63	4	18	1
6	63	5	13.5	1
6	63	6	15.5	1
6	63	7	9	1
6	64	1	60	0
6	64	2	60	0
6	64	3	53.8	1
6	64	4	39.3	1
6	64	5	16.8	1
6	64	6	17.3	1
6	64	7	14.3	1
6	65	1	25.8	1
6	65	2	29.5	1
6	65	3	26.5	1
6	65	4	22.3	1
6	65	5	11.5	1
6	65	6	22.5	1
6	65	7	9.3	1
6	66	1	55.8	1
6	66	2	29.5	1
6	66	3	23.5	1
6	66	4	21.3	1
6	66	5	19.5	1
6	66	6	22.5	1
6	66	7	10.3	1
6	67	1	56.3	1
6	67	2	22	1
6	67	3	15	1
6	67	4	26	1
6	67	5	13.5	1
6	67	6	17.5	1
6	67	7	10	1
6	68	1	45.8	1
6	68	2	29.5	1
6	68	3	26.5	1
6	68	4	22.3	1
6	68	5	11.5	1
6	68	6	12.5	1
6	68	7	9.3	1
6	69	1	56.3	1
6	69	2	19.3	1
6	69	3	17.5	1
6	69	4	7.3	1
6	69	5	9	1
6	69	6	9.3	1
6	69	7	11	1
6	70	1	54.5	1
6	70	2	26	1
6	70	3	23	1
6	70	4	2	1
6	70	5	6	1
6	70	6	5	1
6	70	7	5	1
6	71	1	52.3	1
6	71	2	30	1
6	71	3	24	1
6	71	4	19	1
6	71	5	6	1
6	71	6	5	1
6	71	7	4	1
6	72	1	50.2	1
6	72	2	29	1
6	72	3	17	1
6	72	4	10	1
6	72	5	11	1
6	72	6	13	1
6	72	7	5	1
