materiali	invecchiamento	valori
CERAMICA_SUGLUE	2chewing	11.57163896
CERAMICA_SUGLUE	2chewing	8.486562942
CERAMICA_SUGLUE	2chewing	11.69146675
CERAMICA_SUGLUE	2chewing	8.028673835
CERAMICA_SUGLUE	2chewing	9.879725086
CERAMICA_SUGLUE	2chewing	6.97392359
CERAMICA_SUGLUE	2chewing	15.86179026
CERAMICA_SUGLUE	2chewing	7.894736842
CERAMICA_SUGLUE	2chewing	11.39446555
CERAMICA_SUGLUE	2chewing	3.748438151
CERAMICA_SUGLUE	2chewing	16.33986928
CERAMICA_SUGLUE	2chewing	9.658166034
CERAMICA_SUGLUE	2chewing	16.85870224
CERAMICA_SUGLUE	2chewing	18.60119048
CERAMICA_SUGLUE	2chewing	3.176742395
CERAMICA_SUGLUE	2chewing	7.894736842
CERAMICA_SUGLUE	2chewing	2.998391107
CERAMICA_SUGLUE	2chewing	7.895080256
CERAMICA_SUGLUE	2chewing	9.564989518
CERAMICA_SUGLUE	2chewing	9.282700422
CERAMICA_VARIOLINK	1static	21.16220544
CERAMICA_VARIOLINK	1static	13.35066163
CERAMICA_VARIOLINK	1static	13.34379906
CERAMICA_VARIOLINK	1static	22.51552795
CERAMICA_VARIOLINK	1static	11.52999093
CERAMICA_VARIOLINK	1static	26.05032701
CERAMICA_VARIOLINK	1static	20.51445578
CERAMICA_VARIOLINK	1static	20.25425555
CERAMICA_VARIOLINK	1static	11.1178492
CERAMICA_VARIOLINK	1static	14.02066203
CERAMICA_VARIOLINK	1static	10.62801932
CERAMICA_VARIOLINK	1static	16.8647425
CERAMICA_VARIOLINK	1static	16.97829357
CERAMICA_VARIOLINK	1static	27.56611385
CERAMICA_VARIOLINK	1static	16.70480549
CERAMICA_VARIOLINK	1static	17.9028133
CERAMICA_VARIOLINK	1static	17.18321737
CERAMICA_VARIOLINK	1static	26.33311389
CERAMICA_VARIOLINK	1static	24.77793361
CERAMICA_VARIOLINK	1static	12.04819277
CERAMICA_VARIOLINK	1static	20.15621063
CERAMICA_VARIOLINK	1static	16.30434783
CERAMICA_VARIOLINK	1static	19.42107867
CERAMICA_VARIOLINK	1static	19.45812808
CERAMICA_VARIOLINK	1static	22.76366964
CERAMICA_VARIOLINK	1static	12.93103448
CERAMICA_VARIOLINK	1static	13.80871534
CERAMICA_VARIOLINK	1static	18.61958266
CERAMICA_VARIOLINK	1static	17.43067346
CERAMICA_VARIOLINK	1static	8.152173913
CERAMICA_VARIOLINK	1static	16.84981685
CERAMICA_VARIOLINK	1static	24.14772727
CERAMICA_VARIOLINK	1static	15.26187999
CERAMICA_VARIOLINK	1static	15.95179015
CERAMICA_VARIOLINK	1static	21.61700049
CERAMICA_VARIOLINK	1static	16.85393258
CERAMICA_VARIOLINK	1static	9.827725749
CERAMICA_VARIOLINK	1static	18.49489796
CERAMICA_VARIOLINK	1static	17.86606697
CERAMICA_VARIOLINK	1static	16.48351648
CERAMICA_VARIOLINK	1static	12.22826087
CERAMICA_VARIOLINK	1static	9.742834485
CERAMICA_VARIOLINK	1static	15.34372357
CERAMICA_VARIOLINK	1static	17.8813943
CERAMICA_VARIOLINK	1static	17.27679111
CERAMICA_VARIOLINK	1static	14.48754789
CERAMICA_VARIOLINK	1static	20.49861496
CERAMICA_VARIOLINK	1static	15.55266204
CERAMICA_VARIOLINK	1static	12.93190544
CERAMICA_VARIOLINK	1static	9.455032758
CERAMICA_VARIOLINK	1static	10.86956522
CERAMICA_VARIOLINK	1static	14.06120761
CERAMICA_VARIOLINK	1static	13.92190153
CERAMICA_VARIOLINK	1static	15.31620553
CERAMICA_VARIOLINK	1static	16.13674396
CERAMICA_VARIOLINK	1static	15.13897102
CERAMICA_VARIOLINK	1static	15.6820623
CERAMICA_VARIOLINK	1static	18.25307951
CERAMICA_VARIOLINK	1static	9.322219785
CERAMICA_VARIOLINK	1static	13.51800554
CERAMICA_VARIOLINK	1static	14.84763682
CERAMICA_VARIOLINK	1static	14.26900585
CERAMICA_VARIOLINK	1static	15.37750029
CERAMICA_VARIOLINK	1static	14.10567696
CERAMICA_VARIOLINK	1static	13.21388578
CERAMICA_VARIOLINK	1static	10.96558026
CERAMICA_VARIOLINK	1static	17.19724844
CERAMICA_VARIOLINK	1static	12.5
CERAMICA_VARIOLINK	1static	11.31733816
CERAMICA_VARIOLINK	1static	18.01410743
CERAMICA_VARIOLINK	1static	17.38732555
CERAMICA_VARIOLINK	1static	8.971101937
CERAMICA_VARIOLINK	1static	15.56064073
CERAMICA_VARIOLINK	2chewing	11.69590643
CERAMICA_VARIOLINK	2chewing	17.93981481
CERAMICA_VARIOLINK	2chewing	14.50549451
CERAMICA_VARIOLINK	2chewing	7.306626354
CERAMICA_VARIOLINK	2chewing	14.95844875
CERAMICA_VARIOLINK	2chewing	12.97061524
CERAMICA_VARIOLINK	2chewing	16.5529695
CERAMICA_VARIOLINK	2chewing	13.22948896
CERAMICA_VARIOLINK	2chewing	15.99702381
CERAMICA_VARIOLINK	2chewing	11.16427432
CERAMICA_VARIOLINK	2chewing	15.20833333
CERAMICA_VARIOLINK	2chewing	7.409793814
CERAMICA_VARIOLINK	2chewing	5.967881944
CERAMICA_VARIOLINK	2chewing	14.18439716
CERAMICA_VARIOLINK	2chewing	8.054123711
CERAMICA_VARIOLINK	2chewing	4.591836735
CERAMICA_VARIOLINK	2chewing	9.201819686
CERAMICA_VARIOLINK	2chewing	13.08058974
CERAMICA_VARIOLINK	2chewing	17.70708283
CERAMICA_VARIOLINK	2chewing	14.99846954
CERAMICA_VARIOLINK	2chewing	20.2020202
CERAMICA_VARIOLINK	2chewing	9.092746009
CERAMICA_VARIOLINK	2chewing	16.86358754
CERAMICA_VARIOLINK	2chewing	6.909013605
CERAMICA_VARIOLINK	2chewing	10.52631579
CERAMICA_VARIOLINK	2chewing	14.63146315
CERAMICA_VARIOLINK	2chewing	18.54674797
CERAMICA_VARIOLINK	2chewing	12.47937294
CERAMICA_VARIOLINK	2chewing	7.865646259
CERAMICA_VARIOLINK	2chewing	17.93981481
CERAMICA_VARIOLINK	2chewing	4.511278195
CERAMICA_VARIOLINK	2chewing	6.093782276
CERAMICA_VARIOLINK	2chewing	18.13198398
CERAMICA_VARIOLINK	2chewing	19.73684211
CERAMICA_VARIOLINK	2chewing	11.39817629
CERAMICA_VARIOLINK	2chewing	10.86956522
CERAMICA_VARIOLINK	2chewing	17.97385621
CERAMICA_VARIOLINK	2chewing	15.09075559
CERAMICA_VARIOLINK	2chewing	19.95373048
CERAMICA_VARIOLINK	2chewing	18.11594203
CERAMICA_VARIOLINK	2chewing	21.64502165
CERAMICA_VARIOLINK	2chewing	15.31053216
CERAMICA_VARIOLINK	2chewing	9.580130101
CERAMICA_VARIOLINK	2chewing	20.61403509
CERAMICA_VARIOLINK	2chewing	15.52892131
COMPOSITO_SUGLUE	1static	11.29385965
COMPOSITO_SUGLUE	1static	11.76075269
COMPOSITO_SUGLUE	1static	9.107037256
COMPOSITO_SUGLUE	1static	8.142812402
COMPOSITO_SUGLUE	1static	8.464460119
COMPOSITO_SUGLUE	1static	7.168458781
COMPOSITO_SUGLUE	1static	12.05673759
COMPOSITO_SUGLUE	1static	11.42473118
COMPOSITO_SUGLUE	1static	11.86503522
COMPOSITO_SUGLUE	1static	8.457170472
COMPOSITO_SUGLUE	1static	7.978723404
COMPOSITO_SUGLUE	1static	10.52631579
COMPOSITO_SUGLUE	1static	15.61596298
COMPOSITO_SUGLUE	1static	19.6151924
COMPOSITO_SUGLUE	1static	10.74792244
COMPOSITO_SUGLUE	1static	8.29787234
COMPOSITO_SUGLUE	1static	11.98208287
COMPOSITO_SUGLUE	1static	12.70604396
COMPOSITO_SUGLUE	1static	15.54828151
COMPOSITO_SUGLUE	1static	10.07231405
COMPOSITO_SUGLUE	1static	9.648688768
COMPOSITO_SUGLUE	1static	14.49275362
COMPOSITO_SUGLUE	1static	10.27970356
COMPOSITO_SUGLUE	1static	7.1875
COMPOSITO_SUGLUE	1static	7.216494845
COMPOSITO_SUGLUE	1static	7.444168734
COMPOSITO_SUGLUE	1static	14.9934811
COMPOSITO_SUGLUE	1static	26.05363985
COMPOSITO_SUGLUE	1static	15.29714363
COMPOSITO_SUGLUE	1static	16.39515455
COMPOSITO_SUGLUE	1static	13.36831584
COMPOSITO_SUGLUE	1static	16.76808654
COMPOSITO_SUGLUE	1static	10.85972851
COMPOSITO_SUGLUE	1static	7.320261438
COMPOSITO_SUGLUE	1static	13.35830212
COMPOSITO_SUGLUE	1static	16.36469901
COMPOSITO_SUGLUE	1static	13.56063541
COMPOSITO_SUGLUE	1static	28.58950032
COMPOSITO_SUGLUE	1static	30.8228357
COMPOSITO_SUGLUE	1static	21.95268645
COMPOSITO_SUGLUE	1static	22.30179028
COMPOSITO_SUGLUE	1static	10.00123472
COMPOSITO_SUGLUE	1static	7.756948933
COMPOSITO_SUGLUE	1static	24.53041772
COMPOSITO_SUGLUE	1static	14.74262869
COMPOSITO_SUGLUE	1static	7.748934522
COMPOSITO_SUGLUE	1static	11.94444444
COMPOSITO_SUGLUE	1static	21.63182346
COMPOSITO_SUGLUE	1static	13.7254902
COMPOSITO_SUGLUE	1static	20.20560085
COMPOSITO_SUGLUE	1static	13.61244566
COMPOSITO_SUGLUE	1static	10.51165147
COMPOSITO_SUGLUE	1static	15.7243612
COMPOSITO_SUGLUE	1static	10.4189044
COMPOSITO_SUGLUE	1static	15.38461538
COMPOSITO_SUGLUE	1static	17.47311828
COMPOSITO_SUGLUE	1static	13.69285865
COMPOSITO_SUGLUE	1static	15.61065197
COMPOSITO_SUGLUE	1static	8.877840909
COMPOSITO_SUGLUE	1static	13.50135014
COMPOSITO_SUGLUE	1static	19.56468574
COMPOSITO_SUGLUE	1static	12.6256722
COMPOSITO_SUGLUE	1static	7.230392157
COMPOSITO_SUGLUE	1static	8.250825083
COMPOSITO_SUGLUE	1static	7.90513834
COMPOSITO_SUGLUE	1static	6.929510155
COMPOSITO_SUGLUE	1static	12.50584385
COMPOSITO_SUGLUE	1static	12.64113893
COMPOSITO_SUGLUE	1static	17.55852843
COMPOSITO_SUGLUE	1static	7.0496633
